State,POP_2015,POP_2016,POP_2017,POP_2018,POP_2019,POP_2020,POP_2021,POP_CHANGE_TOTAL,POP_CHANGE_PCT,Poverty Rate,Unemployment Rate,Median Household Income,Percentage without Health Insurance
Arkansas,2978204.0,2988248.0,3004279.0,3013825.0,3017804.0,3012232.0,3025891.0,47687.0,1.6011999178028102,16.0,5.3,73346.0,8.700000000000003
New Mexico,2085109.0,2081015.0,2088070.0,2095428.0,2096829.0,2117566.0,2115877.0,30768.0,1.4756063112288136,18.3,6.6,74363.0,9.599999999999994
Ohio,11613423.0,11614373.0,11658609.0,11689442.0,11689100.0,11790587.0,11780017.0,166594.0,1.4344952388283798,13.4,5.3,83820.0,6.299999999999998
Missouri,6083672.0,6093000.0,6113532.0,6126452.0,6137428.0,6154481.0,6168187.0,84515.0,1.389210332180959,12.8,4.5,83152.0,9.5
Michigan,9922576.0,9928300.0,9962311.0,9995915.0,9986857.0,10067664.0,10050811.0,128235.0,1.2923559366035593,13.3,6.2,85727.0,5.299999999999997
Pennsylvania,12802503.0,12784227.0,12805537.0,12807060.0,12801989.0,12989625.0,12964056.0,161553.0,1.2618860546254118,11.8,5.5,92849.0,5.599999999999994
Kansas,2911641.0,2907289.0,2913123.0,2911505.0,2913314.0,2935880.0,2934582.0,22941.0,0.7879062013483118,11.5,4.1,87033.0,8.900000000000006
Hawaii,1431603.0,1428557.0,1427538.0,1420491.0,1415872.0,1451911.0,1441553.0,9950.0,0.6950250872623206,9.5,5.2,113310.0,4.0
Connecticut,3590886.0,3576452.0,3588184.0,3572665.0,3565287.0,3600260.0,3605597.0,14711.0,0.4096760520941071,10.0,6.1,120670.0,5.200000000000003
California,39144818.0,39250017.0,39536653.0,39557045.0,39512223.0,39499738.0,39237836.0,93018.0,0.23762532246286086,12.3,6.5,119149.0,7.200000000000002
New York,19795791.0,19745289.0,19849399.0,19542209.0,19453561.0,20154933.0,19835913.0,40122.0,0.20267944837364668,13.5,6.2,111583.0,5.299999999999997
District of Columbia,672228.0,681170.0,693972.0,702455.0,705749.0,690093.0,670050.0,-2178.0,-0.3239972152305468,15.4,7.1,138421.0,3.4000000000000057
Alaska,738432.0,741894.0,739795.0,737438.0,731545.0,732441.0,732673.0,-5759.0,-0.7798957791644999,10.4,6.9,103258.0,12.200000000000005
Louisiana,4670724.0,4681666.0,4684333.0,4659978.0,4648794.0,4651203.0,4624047.0,-46677.0,-0.9993525629003127,18.8,6.8,77025.0,8.299999999999997
Wyoming,586107.0,585501.0,579315.0,577737.0,578759.0,577267.0,578803.0,-7304.0,-1.2461888358269053,10.7,4.2,87786.0,11.700000000000005
Mississippi,2992333.0,2988726.0,2984100.0,2986530.0,2976149.0,2956870.0,2949965.0,-42368.0,-1.4158851972691542,19.4,6.8,68636.0,12.099999999999996
Illinois,12859995.0,12801539.0,12802023.0,12741080.0,12671821.0,12785245.0,12671469.0,-188526.0,-1.4659881283002054,11.8,6.2,100719.0,7.0
West Virginia,1844128.0,1831102.0,1815857.0,1805832.0,1792147.0,1789798.0,1782959.0,-61169.0,-3.316960644814243,16.9,6.4,69436.0,6.400000000000006
Puerto Rico,3474182.0,3411307.0,3337177.0,3195153.0,3193694.0,3281538.0,3263584.0,-210598.0,-6.061801022514077,42.7,14.6,34931.0,6.799999999999998
